|------------+--------------------+--------------------+---------------------+--------------------+-----------------------+----------------------------|
|          h |       sim 3 pontos |  esquerda 2 pontos |    direita 2 pontos | simetrica 5 pontos | 2ª simetrica 5 pontos | 3ª anti-simetrica 5 pontos |
|        0.5 |  2.106678323581137 | 5.7693816931927806 | 1.55602504603050650 | 1.4953176671794182 |    1.3930924069170949 |         42.924442381871593 |
|        0.2 | 0.2972794239134368 | 1.4753863116237089 | 0.88082746379683474 | 0.0296455144898608 |    0.0297818925915418 |         5.5152779026445273 |
|        0.1 | 0.0729809779543329 | 0.6432406862433164 | 0.49727873033465064 | 0.0017851706987017 |    0.0018137229953048 |         1.3362264585161228 |
|       0.05 | 0.0181623416769949 | 0.3009748744740963 | 0.26465019112010646 | 0.0001105370821177 |    0.0001126244404687 |         0.3314463185106291 |
|       0.01 | 0.0007254350693797 | 0.0571401661611141 | 0.05568929602235517 | 0.0000001763316666 |    0.0000001798215620 |         0.0132246126315749 |
|      0.005 | 0.0001813505025749 | 0.0283864091768912 | 0.02802370817174138 | 0.0000000110196931 |    0.0000000112304867 |         0.0033058937863472 |
|      0.001 | 0.0000072539153306 | 0.0056481184098053 | 0.00563361057914457 | 0.0000000000176307 |    0.0000000000962678 |         0.0001322371209724 |
|     0.0005 | 0.0000018134779331 | 0.0028222434185711 | 0.00281861646270531 | 0.0000000000011995 |    0.0000000012805045 |         0.0000336493304331 |
|     0.0001 | 0.0000000725387008 | 0.0005641583393649 | 0.00056401326196331 | 0.0000000000005901 |    0.0000000703183751 |         0.0001155361312044 |
|    0.00005 | 0.0000000181361059 | 0.0002820610344951 | 0.00028202476228323 | 0.0000000000019078 |    0.0000001295302745 |         0.0013832650656269 |
|    0.00001 | 0.0000000007289187 | 0.0000564093137036 | 0.00005640785586624 | 0.0000000000044981 |    0.0000036822441327 |         0.0582266882343915 |
|   0.000001 | 0.0000000000062448 | 0.0000056409384248 | 0.00000564092593524 | 0.0000000000122586 |    0.0002222532222138 |         67.498841907047023 |
|  0.0000001 | 0.0000000000117452 | 0.0000005645366560 | 0.00000056456014663 | 0.0000000000117452 |    0.0018504836939516 |         43.523461396381741 |
| 0.00000001 | 0.0000000000107425 | 0.0000000555218941 | 0.00000005550040915 | 0.0000000000107425 |    0.5606629230281115 |         43.523461396381741 |
|------------+--------------------+--------------------+---------------------+--------------------+-----------------------+----------------------------|
